WorkCode,ResourceGroupCode,ResourceCode,ResourceClassification,Quantity,Weight,Cost
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.53,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.23,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.90,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.01,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.53,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.23,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.89,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.01,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.53,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.23,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.89,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.01,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.52,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.23,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.89,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.01,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.52,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.23,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.89,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.00,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.52,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.22,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.88,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.00,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.51,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.34,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.22,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.88,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.00,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.51,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.33,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.22,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.88,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.69,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.00,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.51,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.33,9010.33
T3944,R39402,R1213,F,1.00,450.07,450.52
T3945,R39402,R1214,F,1.00,5000.74,5005.74
L2903,T29391,R9942,M,90.08,20005.97,1802066.66
L2903,T29391,R9943,M,2933.49,8002.39,23474921.71
L2903,T29391,R9944,M,483.41,9306.78,4498991.57
L2903,T29391,R9945,M,231.20,1440.43,333021.92
L2903,T29391,R9946,M,64.05,203.06,13006.92
L2903,T29391,R2039,L,4.00,10002.98,40045.93
L2903,T29391,R2040,L,4.00,10002.98,40045.93
L2903,T29391,R2041,L,4.00,10002.98,40045.93
L2903,T29391,R2042,L,2.00,12003.58,24027.56
L2903,T29391,M34211,F,4.00,900.27,3604.13
L2903,T29391,M34212,F,4.00,100.03,400.46
L2903,T29391,M34213,F,2.00,1400.42,2803.21
L3092,D349201,P231231,M,230.20,61478.22,14152003.74
L3092,D349201,P231232,M,140.12,2000.60,280321.48
L3092,D349201,P231233,M,1591.35,4901.46,7799945.20
L3092,D349201,R0032,L,1.00,10002.98,10011.48
L3092,D349201,R0033,L,1.00,12003.58,12013.78
L3092,D349201,R0034,L,2.00,10002.98,20022.96
L3092,D349201,R0035,L,2.00,12003.58,24027.56
L3092,D349201,M3241,F,2.00,800.24,1601.84
L3092,D349201,M23141,F,2.00,1200.36,2402.76
T3940,R39402,L3092,M,1.00,1400.42,1401.61
T3941,R39402,P302012,M,4.00,122453.87,490231.64
T3942,R39402,R1211,L,1.00,8002.39,8009.19
T3943,R39402,R1212,L,1.00,9002.68,9010.33
T3944,R39402,R1213,F,1.00,450.13,450.52
T3945,R39402,R1214,F,1.00,5001.49,5005.74
L2903,T29391,R9942,M,90.09,20002.97,1802066.66
L2903,T29391,R9943,M,2933.93,8001.19,23474921.71
L2903,T29391,R9944,M,483.48,9305.38,4498991.57
L2903,T29391,R9945,M,231.23,1440.21,333021.92
L2903,T29391,R9946,M,64.06,203.03,13006.92
L2903,T29391,R2039,L,4.00,10001.48,40045.93
L2903,T29391,R2040,L,4.00,10001.48,40045.93
L2903,T29391,R2041,L,4.00,10001.48,40045.93
L2903,T29391,R2042,L,2.00,12001.78,24027.56
L2903,T29391,M34211,F,4.00,900.13,3604.13
L2903,T29391,M34212,F,4.00,100.01,400.46
L2903,T29391,M34213,F,2.00,1400.21,2803.21
L3092,D349201,P231231,M,230.23,61469.00,14152003.74
L3092,D349201,P231232,M,140.14,2000.30,280321.48
L3092,D349201,P231233,M,1591.59,4900.73,7799945.20
L3092,D349201,R0032,L,1.00,10001.48,10011.48
L3092,D349201,R0033,L,1.00,12001.78,12013.78
L3092,D349201,R0034,L,2.00,10001.48,20022.96
L3092,D349201,R0035,L,2.00,12001.78,24027.56
L3092,D349201,M3241,F,2.00,800.12,1601.84
L3092,D349201,M23141,F,2.00,1200.18,2402.76
T3940,R39402,L3092,M,1.00,1400.21,1401.61
T3941,R39402,P302012,M,4.00,122435.51,490231.64
T3942,R39402,R1211,L,1.00,8001.19,8009.19
T3943,R39402,R1212,L,1.00,9001.33,9010.33
